,Naver ID,Name,Score
0,12077060,아이해브어드림 강남역 본점,43
1,20472120,도치피자 강남,43
2,38291008,쉐이크쉑 강남대로점,42
3,450731592,비어룸,41
4,21339789,카페마마스 강남역점,40
5,254053959,나폴리회관 강남역점,39
6,1086067689,스타벅스 강남R점,39
7,34016603,알베르,37
8,870437247,진대감 강남역 삼성타운점,37
9,37362104,바게트케이,36
10,35271642,라그릴리아 SPC스퀘어점,35
11,20123101,아실라,35
12,31991940,장꼬방,34
13,18407600,프리모바치오바치 강남점,34
14,13090306,매드포갈릭 강남삼성타운점,34
15,20561475,브라운홀릭,34
16,19896618,갓덴스시 강남점,33
17,1639179283,사유의서재,32
18,1299706278,고메램 강남점,32
19,79841163,29펍 UK Classic 2호점,31
