상호,영업표지,대표자,등록번호,최초등록일,업종
(주)미스터홈즈부동산중개,미스터홈즈,고상철,20230523,2023.04.07,부동산 중개
구름에프앤비,구름카츠,김현태,20240133,2024.01.25,일식
보승FC,버거리(BURGERRY),정찬희,20211511,2021.07.05,패스트푸드
보승FC,보승회관,정찬희,20171222,2017.10.26,한식
보승FC,보승대한족발집,정찬희,20140649,2014.07.25,기타 외식
보승FC,미쓰족발,정찬희,20130100064,2013.02.07,기타 외식
(주)오제이푸드,오장동흥남집,윤재순,20171305,2017.11.15,기타 외식
청춘클린,청춘클린,조창민,20210581,2021.03.03,기타 서비스
(주)캠핑고래,캠핑고래,김영철,20191291,2019.12.02,기타도소매
롯데씨브이에스711(주),미니스톱,김홍철,20080200069,2008.07.29,편의점
키즈닥터코리아(주),키즈닥터,한상혁,20140978,2014.04.16,기타 서비스
(주)내추럴플로우,피자스웨그&옐로우캔,김형곤,20210564,2021.02.26,피자
(주)안경매니져,씨채널,김재목,20120500062,2012.10.12,안경
(주)안경매니져,안경매니져,김재목,20110500014,2011.06.02,안경
(주)안경매니져,아이피아,김재목,20110500015,2011.06.02,안경
(주)안경매니져,렌즈스토리(LENS STORY),김재목,20201239,2020.09.22,안경
(주)안경매니져,글라스스토리 (GLASS STORY),김재목,20201242,2020.09.22,안경
(주)노모어에프앤비,노모어피자,강병양,20220831,2022.08.17,피자
(주)알피케이컴퍼니,레코드피자,김석영,20201621,2020.11.27,피자
(주)아담스푸드앤로지스틱스,아담's 꼬마김밥,박재연,20215866,2021.12.29,분식
(주)아싸,아싸비어,구자명,20220239,2022.03.23,편의점
(주)굿투비위드유,대왕제육,김웅렬,20212745,2021.10.14,한식
(주)부엉이자리,진부엉이꼬마김밥,최석규,20214422,2021.11.09,분식
(주)상상유니버스,아이조아요양보호소,이금호,20213954,2021.11.03,반려동물 관련
(주)한국아이지에이,IGA MART,황본식,20130100003,2013.01.30,편의점
(주)엠엔에스에프,모자온달,김현식,20200658,2020.05.28,기타 외식
(주)광화문미진,미진1954,이정석,20230331,2023.02.22,한식
(주)멕시카나,떡볶이 집(ZIP),"최광은, 이두열",20212758,2021.10.14,분식
(주)멕시카나,멕시카나,"최광은, 이두열",20080100262,2008.08.11,치킨
(주)제너시스비비큐,BBQ,김태천,20161241,2016.12.19,치킨
(주)멕시카나,치킨더홈,"최광은, 이두열",20080100499,2008.09.19,치킨
가람F&B,크로플덕 오리아가씨,김가람,20215870,2021.12.31,기타 외식
(주)미분당,미분당,이광숙,20180881,2018.08.31,기타 외국식
(주)케이지할리스에프앤비,할리스,이종현,20080100199,2008.08.06,커피
(주)쇼타임글로벌,쇼타임피시앤카페,박기연,20181067,2018.10.19,PC방
(주)나라365,k-guesthouse,안승복,20150299,2015.03.27,숙박
(주)진심코리아,진심커피,이주성,20201084,2020.08.25,커피
(주)진심코리아,더치앤빈,이주성,20151052,2015.11.05,커피
(주)아모레퍼시픽,아리따움,이동순 외 1인,20080100056,2008.07.26,화장품
(주)베모스,카페띠아모,김성동,20090100413,2009.09.02,커피
(주)진성패밀리,도레미치킨,김성환,20191341,2019.12.10,치킨
(주)와이에이치컴퍼니,고기극찬,유해선,20201014,2020.08.12,한식
(주)미트멘토,도담갈비선생,정해민,20220062,2022.01.24,한식
(주)케이엔제이파트너스,일호점미역,김삼권,20221083,2022.10.13,한식
이집닭강정잘하네,이집닭강정잘하네,"양지민, 한동준",20240127,2024.01.23,치킨
(주)인세이버,순둥이,손경진,20240128,2024.01.23,한식
(주)한국창업능률개발원,오끼,권순만,20200132,2020.01.28,주점
비에프오코리아(B.F.OKOREA),뽑자슈가링,최승혁,20181087,2018.10.26,이미용
(주)더스윙골프,더스윙 제트,최재호,20240132,2024.01.23,스포츠 관련
(주)유니쉐프딜리버리,든든볶음밥,"오경열, 최윤혁",20201807,2020.12.17,한식
소영(S·Y)에프엔비,팔십뚜껑,안소영,20240131,2024.01.23,한식
(주)치악인터네셔날,무쇠솥 뜨끈한국밥,원응식,20240130,2024.01.23,한식
(주)이엠컴퍼니,닥터세이지(Dr.SAGY),은명,20200524,2020.04.17,음료 (커피 외)
오일내전북대점,오일내,최원용,20240129,2024.01.23,한식
제주점빵,제주점빵,고지영,20214801,2021.11.12,기타도소매
가득피자,가득피자,이상훈,20215844,2021.12.06,피자
에이제이토탈(주),호차오,김홍석,20213579,2021.10.29,중식
에이제이토탈(주),호치킨,김홍석,20120100525,2012.09.27,치킨
(주)채선당,채선당밀키트24,김익수,20211958,2021.08.26,기타 외식
(주)채선당,채선당도시락&샐러드,김익수,20200017,2020.01.03,기타 외식
(주)채선당,채선당키친,김익수,20200849,2020.07.09,기타 외식
(주)채선당,행복가마솥밥&알솥밥,김익수,20170703,2017.06.16,한식
(주)채선당,샤브보트,김익수,20160771,2016.08.06,한식
(주)채선당,채선당,김익수,20080100111,2008.08.02,한식
홈메이드푸드,설담재,이준희,20170670,2017.06.02,한식
(주)뮤엠교육,뮤엠영어,이광수,20120100492,2012.09.17,교육 (외국어)
(주)인생푸드,인생아구찜,이상훈,20200830,2020.07.07,한식
(주)더뉴스탠다드,천재짬뽕,하경재,20212167,2021.09.14,중식
(주)더뉴스탠다드,카레왕자,하경재,20212166,2021.09.14,기타 외식
(주)더뉴스탠다드,타코랜드,하경재,20212165,2021.09.14,일식
(주)더뉴스탠다드,후토루,하경재,20212528,2021.10.07,일식
(주)솔솥,솔솥,하경재,20211882,2021.08.19,한식
주)에스제이애프,산본마츠,손동훈,20231356,2023.09.19,일식
(주)에이제이에프(AJF),압구정제주집,전수연,20231165,2023.08.16,한식
(주)채선당,Freshsal,김익수,20230488,2023.04.03,기타 외식
(주)아리,스타셰프 임성근의 한끗 다른 맴맴,임성근,20214101,2021.11.04,기타 외식
JK푸드,피자엠소마,김형준,20200018,2020.01.06,피자
설래임에프앤비,설래임,임승훈,20211358,2021.06.09,커피
밥도둑the키친,반찬의감동밥도둑,박은혜,20220811,2022.08.11,한식
마포우사미,마포우사미,박진영,20230210,2023.02.09,한식
멘부리,멘부리,최주일,20214483,2021.11.09,일식
(주)지씨홀딩스,샤브담,박도용,20180141,2018.02.14,한식
(주)에이지푸드,테이블비(Table.B),이광민,20215016,2021.11.12,제과제빵
(주)에이지푸드,에그몬(EGGMON),이광민,20215015,2021.11.12,제과제빵
(주)에이지푸드,서춘화닭강정,이광민,20215017,2021.11.12,분식
(주)엔와이알앤씨,삼돈이,이재범,20170289,2017.02.22,한식
(주)식스텐비즈,천사곱창,김광한,20160760,2016.08.04,한식
(주)식스텐비즈,본스튜,김광한,20181023,2018.10.05,한식
(주)감동식혜,감동식혜,김상권,20215843,2021.12.02,음료 (커피 외)
악마의비빔밥비빌,악마의비빔밥비빌,최윤성,20221360,2022.12.09,한식
(주)킹엔콩,킹엔콩카페(KING N KONG CAFE),조기연,20160558,2016.06.15,기타 외식
(주)밀집,고기그릇,"송석민, 황인범",20215013,2021.11.12,한식
(주)밀집,호랑이전골,"송석민, 황인범",20215014,2021.11.12,한식
(주)밀집,크앙분식,"송석민, 황인범",20191074,2019.10.21,분식
(주)밀집,혼밥대장,"송석민, 황인범",20180555,2018.06.04,한식
에이치에프비지(주),대한감자탕,"한선우, 조현정",20231144,2023.08.09,한식
에이치에프비지(주),화락바베큐치킨,"조현정, 한선우",20214343,2021.11.08,치킨
포포스컴퍼니,사실빙,구민성,20240117,2024.01.22,아이스크림/빙수
㈜꿈꾸는요리사,각각(GAKGAK),백순헌,20240116,2024.01.22,제과제빵
(주)제이한다,장가네일품순두부,김윤경,20230536,2023.04.12,한식
(주)제이한다,제주일품순두부,김윤경,20230537,2023.04.12,한식
제이에스에프앤비,납닥이 버거&치킨,최인선,20240123,2024.01.22,패스트푸드
라오니F&B,라오니피자,"김상진, 김지민",20180998,2018.10.01,피자
달마설렁탕숯불갈비연수,달마설렁탕숯불갈비,설증재,20210714,2021.03.15,한식
(주)슈퍼메이커즈,슈퍼키친,이진호,20230202,2023.02.09,기타도소매
(주)바이담,대패마켙,이재욱,20231410,2023.09.27,한식
일송FNC,제주쾅쾅돈가스,김하늘,20201867,2020.12.23,일식
(주)정을담다,정칼짱,정석환,20240126,2024.01.22,한식
대운,산수칡냉면,박현철,20220175,2022.03.03,한식
(주)과일담,과일담,박광식,20230468,2023.03.27,기타도소매
(주)고동컴퍼니,봉혜자네주방,노경봉,20215603,2021.11.17,한식
(주)고동컴퍼니,고동경양,노경봉,20211896,2021.08.20,서양식
그릭앤조이,그릭앤조이(Greek Enjoy),한형규,20240119,2024.01.22,음료 (커피 외)
호랑이장칼국수,호랑이장칼국수,송현정,20240124,2024.01.22,한식
(주)제이앤제이에프앤비솔루션,이수쭈꾸미,최지웅,20231825,2023.12.13,한식
유아이유명덕점,유아이유,최우석,20240122,2024.01.22,커피
(주)커버박스,커버박스,정동훈,20181207,2018.11.27,기타도소매
(주)비엠디,봉명동내커피,김지우,20190955,2019.09.18,커피
(주)스트릿캔,스트릿캔,윤명욱,20230633,2023.05.02,커피
(주)아이더스코리아,푸라닭,장성식,20150218,2015.03.06,치킨
백양돌곱창구이,백양식당,정성근,20240125,2024.01.22,한식
그린팜에프앤씨,고래가참치&초밥마켓,성경석,20190498,2019.06.03,일식
미트준,신의주부대찌개,서성호,20120100625,2012.11.20,한식
로드다이닝(주),수오미엔(suomian),김정호,20200472,2020.04.06,기타 외국식
큰큰컴퍼니(주),큰큰커피,이현준,20230473,2023.03.29,커피
탕후루에꼬치다앤밥톡가맹본부,탕후루에꼬치다,유성민,20231713,2023.11.23,기타 외식
(주)올치에프씨,신통치킨,김동역,20140100,2014.02.04,치킨
오토앤(주),에쓰-오일(S-OIL)슈퍼워시(SUPERWASH),최찬욱,20171017,2017.08.25,자동차 관련
(주)육쌈,육쌈냉면,이장훈,20090100259,2009.06.03,한식
(주)아이더스코리아,직화부엌직화고,장성식,20200030,2020.01.07,분식
빚다,빚다도예공방,조용현,20160910,2016.09.13,기타 서비스
헬로우낙곱새,헬로우낙곱새,송승진,20210140,2021.01.19,한식
농업회사법인(주)홈델리,박군치킨,정형택,20130438,2013.11.27,치킨
(주)서울랜드,베스트키즈,"김대중, 박세화",20160696,2016.07.26,유아 관련 (교육 외)
한제,한제소곱창전골,"김홍수, 배형욱",20190886,2019.08.27,한식
수향가,육밀도,이병일,20215051,2021.11.15,한식
서울회관(예일푸드),서울회관,고영일,20212859,2021.10.19,한식
20회수산-하루20판한정판매,20회수산,우동균,20220079,2022.01.21,일식
호식이두마리치킨,호식이두마리치킨,최호식,20080600014,2008.08.07,치킨
루브젯,닥터모다르,김지희,20191396,2019.12.23,이미용
백번가코다리,백번가코다리,이경희,20190892,2019.08.28,한식
신승원컷앤컷,엘슈빗,신승원,20201162,2020.09.11,이미용
푸드버스,앙떡로제떡볶이,임경빈,20220646,2022.07.08,분식
신승원컷앤컷,신승원컷앤컷,신승원,20210998,2021.04.09,이미용
서울미트볼,서울미트볼,두현수,20190369,2019.04.19,기타 외식
(주)접시고기,접시고기,장천웅,20191196,2019.11.15,한식
(주)미래엔에듀케어,위버지니어스,강윤구,20080100633,2008.10.17,기타 교육
(주)미래엔에듀케어,아담리즈수학,강윤구,20080100632,2008.10.17,교육 (교과)
(주)스시세끼,스시세끼,이은영,20210835,2021.03.23,일식
(주)참쉬운푸드솔루션,돈갓,유종진,20191021,2019.10.04,서양식
엔에스푸드,마약낙곱새,"김근식, 조나래",20210694,2021.03.11,한식
(주)에스앤엘웍스,키친웍스(KITCHEN WORKS),신재오,20201649,2020.12.01,임대
(주)이니스프리,이니스프리(innisfree),최민정,20080100095,2008.08.02,화장품
코레일유통(주),Storyway(스토리웨이),김영태,20080100765,2008.12.24,편의점
뮤직뮤직,뮤직뮤직,김요석,20120100237,2012.05.31,기타 교육
(주)에이앤제이코퍼레이션,쇼부,이원규,20150422,2015.05.26,일식
(주)제이에스인터푸드,달빛맥주,한동훈,20180557,2018.06.04,주점
(주)에이앤제이코퍼레이션,논노스(NONNOS),이원규,20200486,2020.04.09,피자
(주)에이앤제이코퍼레이션,제퍼빈스(Zephyr Beans),이원규,20110100389,2011.08.28,커피
(주)에이앤제이코퍼레이션,조슈아버거팩토리(Joshua Burger Factory),이원규,20200487,2020.04.09,패스트푸드
(주)지와이푸드,해두리치킨,박창훈,20120100145,2012.04.04,치킨
(주)힐다임심리상담센터,힐다임,윤원권,20201355,2020.10.14,기타 서비스
(유)샤브향,어더아사,최충용,20213980,2021.11.03,아이스크림/빙수
(유)샤브향,샤브향,최충용,20213978,2021.11.03,기타 외식
(주)위벨롭먼트,시선,정승민,20212619,2021.10.13,일식
(주)위벨롭먼트,인쌩맥주,정승민,20200239,2020.02.20,주점
(주)위벨롭먼트,1943,정승민,20190328,2019.04.09,기타 외식
(주)보강엔터프라이즈,족발상회,송호섭,20211273,2021.05.28,기타 외식
(주)보강엔터프라이즈,큰맘할매순대국,송호섭,20140292,2014.04.03,한식
팝콘팔라트(popcornpallat),팝콘팔라트(popcorn pallat),허진우,20240115,2024.01.19,커피
몽상가,몽상가,이태호,20240114,2024.01.19,한식
(주)일공공코리아,메밀당막국수,마상준,20210673,2021.03.10,한식
농부의마음,뽕미당,곽현주,20191367,2019.12.12,중식
농부의마음,차돌풍,곽현주,20171511,2017.12.14,한식
(주)디랩,샤브로21,강성희,20230455,2023.03.23,한식
(주)느낌1998,타래커피1998,양성미,20215404,2021.11.16,커피
(주)엑스엑스,엑스엑스 커피메이커,이성현,20220933,2022.09.08,커피
㈜남문통닭이터테인먼트,남문통닭,"임수자,김경재",20210192,2021.01.21,치킨
크미앤크루컴퍼니,크미앤크루잉글리시,조영숙,20220999,2022.09.28,교육 (외국어)
아이크미에듀(주),아이크미,조영숙,20220983,2022.09.26,교육 (외국어)
팔칠(87')닭강정,87닭강정,이정호 박종하,20150769,2015.08.18,치킨
로꼬로꼬,로꼬로꼬,오승만,20140990,2014.10.15,한식
띵동F&B,띵똥와플,김장호,20220105,2022.02.07,기타 외식
(주)아이엔지스토리,작심스페이스,강남구,20190638,2019.07.04,기타 서비스
(주)아이엔지스토리,작심스터디카페,강남구,20190640,2019.07.04,기타 서비스
(주)아이엔지스토리,작심,강남구,20160479,2016.05.24,기타 서비스
(주)끼니푸드시스템,반할맛으로값어치하는소고깃집,문성규,20180081,2018.01.26,한식
(주)교육다움,대덕영재교육원,성영남,20230257,2023.02.16,기타 교육
(주)교육다움,종로엠스쿨,성영남,20080100223,2008.08.07,교육 (교과)
(주)제이엔에프아이티씨,스펙터,이장훈,20170807,2017.07.13,안경
이연,바이이연,강호석,20201619,2020.11.27,기타 서비스
(주)명인씨엔더블유,세차하는 사람들,신설희,20215705,2021.11.18,자동차 관련
(주)어라운드에이치큐,카페에이.아이,오명원,20220112,2022.02.09,커피
(주)베스트에프앤비,치킨일레븐,홍창기,20213780,2021.11.02,기타 서비스
(주)아성다이소,다이소,김기호,20080100118,2008.08.02,기타도소매
(주)커피니,커피니,우정선,20110100367,2011.08.22,커피
비에이블스터디(주),비에이블스터디카페,이기창,20171120,2017.09.25,커피
㈜베베드클린,베베드클린,안준영,20220955,2022.09.16,세탁
(주)세원바이오,질러스타 노래방(ZILLER STAR MUSIC ROOM),임동옥,20230821,2023.06.09,기타 서비스
(주)세원바이오,질러스타 노래타운(ZILLER STAR MUSIC TOWN),김윤희,20230822,2023.06.09,주점
(주)리치브라더스,돈쫄돈,이진희,20210023,2021.01.07,기타 외식
더네이처(주),진교동찜닭,박준상,20230863,2023.06.16,한식
제이엠에스(Jms)컴퍼니,비엔스(BIENS),조민수,20231820,2023.12.11,커피
인어시스터즈본점,인어시스터즈,김주연,20230580,2023.04.21,농수산물
오월당,오월당,서승우,20240105,2024.01.18,분식
피자파스타하다,반할라피자 플러스,송명희,20240109,2024.01.18,피자
전설낙곱새,전설낙곱새,송결,20240118,2024.01.18,한식
호세야(주),정담오리,윤장원,20240121,2024.01.18,한식
리드미컬브로스(주),리드믹살롱,허민욱,20240106,2024.01.18,일식
(주)웅자네푸드,웅이네 오돌뼈,이덕복,20170900,2017.08.04,기타 외식
(주)알레스,소낙스 카케어,이준형,20090100120,2009.02.24,자동차 관련
(주)앤하우스,메가엠지씨커피(MEGA MGC COFFEE),김대영,20160628,2016.07.13,커피
만복한만복이쭈꾸미낙지볶음체인본부,만복한쭈꾸미낙지볶음,이종희,20141088,2014.11.07,한식
에이치에프비지(주),행복한찜닭,"조현정, 한선우",20190606,2019.06.21,한식
더블유엠엔에이거래소,진교떡볶이,김서연,20214529,2021.11.10,분식
더블유엠엔에이거래소,세상모든면요리,김서연,20191338,2019.12.11,기타 외식
더블유엠엔에이거래소,세상모든 닭요리,김서연,20210781,2021.03.22,기타 외식
더블유엠엔에이거래소,부산네일,김서연,20201477,2020.11.05,이미용
고복만충남대점,고복만,편진희,20231321,2023.09.11,한식
소월스터디카페,소월스터디카페,최현진,20240107,2024.01.18,임대
(주)엘에이치지,고려통닭,최순남,20200266,2020.02.25,치킨
청해통상(주),황칠남원추어탕,풍려외1인,20231794,2023.12.05,한식
스페이스큐브,와이지몰입형스터디카페,안계명,20240113,2024.01.18,기타 서비스
도원돌판오리,도원돌판오리,백찬우,20240110,2024.01.18,한식
할미옥전주본점,할미옥,유은상,20240111,2024.01.18,한식
(주)지구당,지구당,김상현,20150181,2015.02.25,일식
(주)지구당,국대떡볶이,김상현,20100100520,2010.10.22,분식
종로푸드시스템(주),정선애곤드레밥,권태완,20240120,2024.01.18,한식
(주)와이스타브,와이스타브,"김수아, 김재평",20240112,2024.01.18,서양식
바리코퍼레이션(주),라이트바겐,오경담,20213413,2021.10.27,기타 서비스
(주)정준,정가네숯불갈비,"최명진, 정병천",20221104,2022.10.18,한식
(주)지구당,호산나떡볶이,김상현,20220571,2022.06.21,분식
(주)지구당,그린만나,김상현,20213918,2021.11.03,기타 외식
(주)지구당,국대후라이드치킨,김상현,20200484,2020.04.08,치킨
운수돈,운수돈,박성훈,20231173,2023.08.17,한식
(주)지구당,띵크프룻,김상현,20230373,2023.03.09,커피
쏘삼돼지208,쏘주에삼겹살208全,전상면,20180034,2018.01.17,한식
(주)제스트원,응큼떡볶이,하성만,20220936,2022.09.13,분식
땡큐마이독,펫딜,조수진,20230549,2023.04.14,기타도소매
서울퍼피,스타일피(STYL:P),이상욱,20215790,2021.11.18,반려동물 관련
닥치고곱창,닥치고곱창,김신정,20180174,2018.02.23,한식
홀드핀칭,홀드핀칭,김용규,20210141,2021.01.19,이미용
모어그린(moregreeeen),그린리프(GREEN LEAF),박기덕,20230203,2023.02.09,제과제빵
골라먹는피제이(PJ)피자,PJ피자,"진명훈, 박천호",20180959,2018.09.14,피자
홍익스테이크,홍익스테이크,김도식,20200928,2020.07.27,기타 외식
(주)탄탄한기업,갯벌의 조개,양동모,20190659,2019.07.09,한식
장인푸드,빨석구떡볶이,황보철,20213493,2021.10.28,분식
장인푸드,빨석구족발,황보철,20213488,2021.10.28,한식
장인푸드,맛있게매운(빨석구)빨간석쇠구이,황보철,20150476,2015.06.08,치킨
삼청골명가the수제비,삼청골명가the수제비,우영민,20221093,2022.10.14,한식
누루,누루,정일영,20220866,2022.08.24,분식
슈퍼브커피랩,슈퍼브커피로스터스,김종엽,20220352,2022.04.28,커피
아빠꼬꼬집,아빠꼬꼬집,전영주,20230422,2023.03.17,치킨
(주)와이비에프씨,몽계몽계,조허정,20215023,2021.11.15,한식
(주)앤하우스,파시야,김대영,20130100419,2013.05.31,아이스크림/빙수
(주)앤하우스,앤하우스,김대영,20110100140,2011.05.06,기타 외식
맛나린양꼬치,맛나린양꼬치,홍원준,20220929,2022.09.07,중식
(주)인힘,집중소,나희전,20180303,2018.03.23,기타 서비스
(주)쇼앤텔교육,에스엔티어학원(SNT어학원),이정권,20150853,2015.09.10,교육 (외국어)
바로심김밥,바로심김밥,송영림,20221400,2022.12.19,분식
(주)국밥생각,국밥생각,김준학,20211783,2021.08.05,한식
(주)크린모어,크린테크,이재화,20161259,2016.12.21,자동차 관련
푸드트리오,시베리안 빙수킹&카페,안시은,20221364,2022.12.09,아이스크림/빙수
유진물산,꾸꾸루꾸유진바베큐치킨,최광호,20080100419,2008.09.01,치킨
(주)케이비젼안경체인,K비젼안경,"김인규,김봉건",20130050,2013.07.22,안경
(주)쮸커커피,EVZZUCKER COFFEE,지서구,20231318,2023.09.11,커피
본앤본(주),본앤본,채언호,20140536,2014.07.09,기타 외식
(주)그릿,무쇳간,이홍익,20214500,2021.11.10,한식
빅파이어,큰불닭발,김하늘,20230894,2023.06.21,한식
(유)대동상회,대동집,라은미,20211246,2021.05.26,한식
알라보(주),알라보(allavo),박정훈,20230401,2023.03.15,서양식
닷닷닷(dotdotdot),닷닷닷(dotdotdot),최송화,20231322,2023.09.11,분식
씨앤하우스(주),계짱치킨,김행운,20231896,2023.12.26,치킨
(주)오앤씨웰푸드,치킨신드롬,오용복,20080300020,2008.08.26,치킨
별삼부대찌개대패/우삼겹,별삼부대찌개 대패/우삼겹,장진화,20220738,2022.07.27,한식
(주)빈스컴퍼니,빈스킹토스트,오종우,20171463,2017.12.08,제과제빵
(주)한강F&S,임지훈의 시골생고기,임지훈,20220575,2022.06.23,한식
(주)스페샬나잇트,스페샬나잇트,권순호,20220809,2022.08.10,주점
㈜애플라인드,applerind moving shop(AMS),김윤수,20240096,2024.01.17,의류 / 패션
제로전자담배,제로전자담배,최근용,20240100,2024.01.17,기타도소매
(주)슈올즈,슈올즈 (ShoeallS),이청근,20161266,2016.12.21,기타도소매
(주)행남사,육수당,김대홍,20160539,2016.06.10,한식
바르다딜리버리,덮빔밥,김영조,20240101,2024.01.17,한식
럭키마라탕,럭키마라탕,한옥별,20240097,2024.01.17,중식
(주)타이웨이,홍루이젠,송원섭,20180512,2018.05.24,제과제빵
명태본가,명태본가,안순정,20240099,2024.01.17,한식
(주)쉐프군단,딜리버리엄지,원종민,20220716,2022.07.26,기타 외식
(주)코리아엠엔에스,산쪼메,전지은,20150845,2015.09.08,기타 외식
피피노피자,피피노피자,박기호,20240098,2024.01.17,피자
라포코퍼레이션,월미당,이정혁,20220427,2022.05.19,기타 외국식
(주)십사일동안,14일동안,최유미,20080100660,2008.11.05,스포츠 관련
(주)십사일동안,칼로리 바,최유미,20214185,2021.11.05,이미용
프렌드푸드컴퍼니(FRIENDFOODCOMPANY),꼭지네,이영훈,20240093,2024.01.17,한식
(주)피와이,품육,송국봉,20240108,2024.01.17,한식
(주)세연에프앤비,육하원칙,이승민,20231712,2023.11.23,한식
샌드위치위드샐러드,샌드위치 위드 샐러드,이효중,20213830,2021.11.02,패스트푸드
티아나스킨케어,MECCROM(매끄롬),김랑진,20240095,2024.01.17,이미용
오리굽방,오리굽방,강지구,20240104,2024.01.17,기타 외식
(주)바름컴퍼니,BEEF DINING ONDO,황현준,20215655,2021.11.18,한식
아이비탑리딩영어독서학원,아이비탑리딩,정재임,20150959,2015.10.05,교육 (외국어)
(주)양계장집아들,양계장집아들,오성태,20171499,2017.12.14,치킨
(주)소디스파치오네,소디스,이무환,20201475,2020.11.05,커피
(주)아티스티,아티스티,김정동,20190407,2019.05.07,음료 (커피 외)
(주)우아한,맑은365,김순기,20201662,2020.12.02,(건강)식품
(주)카페꼼마,카페꼼마,염현숙,20230813,2023.06.08,커피
뽀까슈,뽀까슈,곽오숙,20221333,2022.12.07,한식
(주)에이블씨엔씨,미샤,신유정,20080100540,2008.09.30,화장품
주식회사 최상,알리베르티(AL LIBERT?),최예나,20230839,2023.06.14,서양식
(주)아이엘에스이츠,제철그륵,양민호,20213155,2021.10.21,일식
(주)푸드인피니티,골라먹룸서비스,김세희,20220819,2022.08.12,기타 외식
(주)이지우미룸,미술놀이터 꼬막도,이지연,20230164,2023.02.02,기타 교육
이지에프코리아(EGFCOREA),할죽슈퍼,정명섭,20213535,2021.10.28,한식
이지에프코리아(EGFCOREA),덮밥슈퍼,정명섭,20191261,2019.11.26,기타 외식
이지에프코리아(EGFCOREA),까뿌족,정명섭,20211877,2021.08.19,기타 외식
이지에프코리아(EGFCOREA),국밥슈퍼,정명섭,20211876,2021.08.19,한식
이지에프코리아(EGFCOREA),소곰커피,정명섭,20211878,2021.08.19,커피
(주)제이에스푸드랩,호랭이맥주,박익철,20210392,2021.02.16,주점
(주)제이에스푸드랩,찰스의식탁,박익철,20210629,2021.03.05,기타 외식
포식코리아,포식(PHO食),김봉준,20201260,2020.09.25,기타 외국식
이음만두,이음만두,조미정,20230675,2023.05.12,한식
조순금닭도리탕,조순금닭도리탕,김헌중,20181120,2018.11.02,한식
(주)배상면주가,느린마을양조장,배영호,20110100306,2011.07.27,주점
대게좋은집안산중앙역점,대게좋은집,김기성,20230667,2023.05.11,한식
광수육회,광수육회,손광수,20211225,2021.05.21,한식
2000에프엔비,타래퀸,이태수,20215567,2021.11.16,아이스크림/빙수
(주)담산,담산,"최동현,우지연",20211813,2021.08.09,한식
(주)푸드버스,치킨버스,김수명,20130265,2013.09.30,치킨
(주)오투힐,오투힐 액티브 명상센터,라의형,20213318,2021.10.26,기타 서비스
오리총재,오리총재,김성남,20221474,2022.12.30,중식
더맛있는,라온수제돈가스,한상헌,20212112,2021.09.09,기타 외식
티앤씨자동차외형복원,티앤씨자동차외형복원,이규동,20120100562,2012.10.22,자동차 관련
(주)이든에프엔씨,오잘전맥집,최윤정,20211984,2021.08.27,한식
쉐어키친(SHAREKITCHEN),영카츠,허영준,20213957,2021.11.03,일식
(주)더블유디,이동규인왔따쪽갈비,이동규,20181212,2018.11.28,한식
(주)프리미어에듀케이션,프리미어 뮤직(Premier Music),"송은옥, 임미영",20180807,2018.08.10,기타 교육
"뮤직카토,수리수리요술램프",수리수리요술램프,안수연,20221151,2022.11.01,유아 관련 (교육 외)
(주)재나컴퍼니,커피볶는시골커피,최민수,20214719,2021.11.11,커피
김추일떡갈비,김추일떡갈비,김추일,20240090,2024.01.16,기타 외식
(주)양산도,양산도,김대원,20210708,2021.03.15,한식
을지로연탄구이,을지로 연탄구이,이재우,20240094,2024.01.16,한식
(주)공터영어,하이존어학원,정인수,20215767,2021.11.18,교육 (교과)
(주)공터영어,공터영어,정인수,20170301,2017.02.24,교육 (교과)
장여사의나뭇잎형손만두,장여사 나뭇잎형 만두,김영호,20240089,2024.01.16,분식
그린어스코리아유한회사,그린어스24,박종성,20240102,2024.01.16,세탁
(주)위넌,엔젤 비지니스 카페,나경모,20240103,2024.01.16,기타 서비스
루다와인상점,루다와인상점,김규연,20220897,2022.08.31,기타도소매
아사라,아사라베이커리,김봉선,20240088,2024.01.16,제과제빵
눈을담다(눈담),눈을담다,성재환,20231439,2023.10.05,아이스크림/빙수
매일순대국,매일순대국,김영준,20240092,2024.01.16,한식
언더커피,언더커피(under coffee),서천우,20220414,2022.05.16,커피
(주)미진미트,미진축산,전용정,20200107,2020.01.21,한식
(주)조선에프앤비,우녹집,"권기백, 권기연",20240087,2024.01.16,한식
와우소문난감자탕,와우소문난감자탕,유광희,20240091,2024.01.16,한식
(주)에브리치,더골드클래스(THE GOLD CLASS),"이민구, 강대근",20212043,2021.09.01,스포츠 관련
153패밀리(주),강릉장칼,박영산,20211305,2021.06.04,한식
(주)제주인에프앤비,제주고세호해장국,김윤미,20220917,2022.09.05,한식
탁구발전소24,탁구발전소24,이동희,20221191,2022.11.08,스포츠 관련
(주)푸드죤,모던통닭,이영존,20160757,2016.08.03,치킨
제이케이컴퍼니,족발슈퍼,김윤영,20190982,2019.09.24,기타 외식
제이케이컴퍼니,치킨슈퍼,김윤영,20210983,2021.04.08,치킨
제이케이컴퍼니,닭발슈퍼,김윤영,20211807,2021.08.10,기타 외식
24시맵돈,맵돈,김건우,20230209,2023.02.09,한식
세이치즈,안녕하세 요거트,홍애리,20214148,2021.11.05,기타 외식
