상호,영업표지,대표자,등록번호,최초등록일,업종
(주)엠디푸드시스템,막창도둑,김병철,20151228,2015.12.17,기타 외식
(주)스포츠사이언스랩,스포츠사이언스랩,김혜경,20211829,2021.08.10,스포츠 관련
(주)주안,캠토토스트,김하람,20180229,2018.03.07,기타 외식
(주)서이컴퍼니,아틀리에빈,옹정환,20201873,2020.12.23,커피
(주)정석닭강정,정석닭강정,채미애,20220919,2022.09.05,치킨
(주)브라보이노베이션,터치쿡(touch cook),이광호,20211056,2021.04.20,기타 외식
(주)브라보이노베이션,쭈꾸미랩소디,이광호,20211057,2021.04.20,기타 외식
(주)브라보이노베이션,브라보치킨피자,이광호,20161309,2016.12.30,치킨
(주)브라보이노베이션,동방불패,이광호,20170730,2017.06.16,중식
(주)브라보이노베이션,달려라짬뽕,이광호,20210142,2021.01.19,기타 외식
(주)더서포터,토스트럭(TOAST LUCK),배미라,20170101,2017.01.13,기타 외식
(주)명진푸드,CAFE CANBUS(카페캔버스),"전우숙, 전병희",20200732,2020.06.17,커피
(주)필드키친,1992 마약짜글이,강규원,20211351,2021.06.09,한식
(주)이비가푸드,이비가짬뽕,변성구,20110500053,2011.11.30,중식
언더더씨건어물,언더더씨,안교임,20215097,2021.11.16,기타도소매
(주)태양부,태양부양꼬치,초이룽지에,20160820,2016.08.18,기타 외식
(주)우성에프앤비,달토끼짬뽕,정우성,20214380,2021.11.09,중식
(주)우성에프앤비,우성회관,정우성,20214378,2021.11.09,한식
(주)우성에프앤비,정씨함박,정우성,20190729,2019.07.23,서양식
디들리밥(순천국가정원점),디들리밥,김원룡,20200027,2020.01.06,서양식
(주)태승에프앤씨,한곱도리,사재승,20215480,2021.11.17,한식
(주)태승에프앤씨,싸군카츠로,사재승,20215481,2021.11.17,한식
(주)원뉴맨,김밥친구들,이봉기,20211279,2021.05.31,분식
(주)후니사람들,갈비다움,김진희,20220708,2022.07.22,한식
(주)에이치오션에프앤씨,북극해고등어,황성필,20211592,2021.07.19,한식
(주)신사의품격,신사부대찌개&품격삼겹살,김정복,20151088,2015.11.09,한식
(주)그린푸드존,피자빅,김환석,20130100059,2013.02.07,피자
